 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
46606EF8;80218;Juego de juntas completo del motor con retenes;Motor VW 1300cc / 1500cc / 1600cc Refrigerado a aire - Sedan / Kombi / Variant / Brasilia (con excepción de Gol 1300cc);VW;18.998,89;;
80226;80226;Juego de juntas completo de motor sin retenes ;Motor MB OM 447 6 Cilindros / OM 449 5 Cilindros;MB;27.520,62;;
80232FLEXR;80232;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Motor Fiat FIRE 1.0L / 1.3L  8 válvulas - Uno / Palio / Weekend / Siena / Strada / Doblò;FIAT;42.117,83;;
80242FLEXR;80242;Juego de juntas completo del motor con retenes;Motor GM 2.0L 8 válvulas - Astra / Vectra / Zafira/S10 (con excepción de GSI) 1997/...;GM;80.799,59;;
80243;80243;Juego de juntas completo del motor con retenes;Motor GM 2.2L 8 válvulas MPFI - Gasolina - Vectra 2000 a 2004;GM;66.902,47;;
80248;80248;Juego de juntas completo del motor con retenes;Motor VW 1300cc / 1500cc / 1600cc Refrigerado a aire - Sedan / Kombi / Variant / Brasilia (con excepción de Gol 1300cc);VW;18.717,24;;
80254FLEXR;80254;Juego de juntas completo del motor con retenes;Motor GM 2.0L Gasolina - Monza / Kadett / Ipanema / Omega 1992 a 1996 (Sólo para motores EFI / MPFI);GM;51.476,44;;
46706FLEX;80255;Juego de juntas completo de motor sin retenes ;Motor VW AP 2.0L Alcohol / Gasolina - Gol / Santana / Quantum / Parati / Logus / Pointer - Motor Ford AP 2.0L Alcohol / Gasolina - Versailles / Royale / Escort / Verona - Hasta 1995;VW;31.785,52;;
80257FLEXR;80257;Juego de juntas completo del motor C/ retenes.Tapa de cilindros Fibra;Motor Fiat Fire 1.0L / 1.3L  8V - Uno / Palio / Weekend / Siena / Strada - Álcool / Gasolina / Flex (Exceto Motor Evo);FIAT;33.909,91;;
80259;80259;Juego de juntas completo del motor con retenes;Motor Fiat SEVEL 1580cc Gasolina - Uno / Duna Noviembre 1989.../ Tipo 1993...1995;FIAT;65.405,74;;
80263;80263;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en fibra ;Motor GM 1.0L 8 válvulas EFI / MPFI - Corsa / Celta 1994/...;GM;49.191,10;;
80266;80266;Juego de juntas completo del motor con retenes;Motor GM 1.4L EFI - Corsa 1994 a 1996;GM;58.026,67;;
80268;80268;Juego de juntas completo del motor C/retenes.Junta de tapa de cilindros en Fibra ;"Motor GM 1.6L / 1.8L 8V EFI / MPFI - Corsa / Corsa Evolution / Meriva / Montana (1995/...) - Motor Fiat 1.8L 8V MPFI - Stilo / Palio / Siena / Palio Weekend / Dobló / Strada / Idea (2003/2010)
# Para Colectores de Admision em Alumínio y Plástico #";GM;61.462,73;;
80270;80270;Juego de juntas completo del motor con retenes;Motor MB OM 366 / 366A / 366LA 6 Cilindros Turbo / con intercooler ( con o sin carcasa );MB;127.214,49;;
80276;80276;Juego de juntas completo del motor con retenes;Motor GM 1.6L 16 válvulas EFI / MPFI - Corsa GSI 1995 a 1996 / Tigra 1998 a 2000;GM;71.022,51;;
80277;80277;Juego de juntas completo del motor con retenes;Motor MWM X10 - Aspirado / Turbo - 4 Cilindros;MWM;158.935,62;;
80278FLEXR;80278;Juego de juntas completo del motor con retenes;Motor GM 2.0L 16 válvulas Gasolina - Astra 1999 a 2003 / Vectra (con excepción de GSI) 1997 a 1999;GM;81.491,63;;
80279;80279;Juego de juntas completo del motor con retenes;Motor MWM X10 - Aspirado / Turbo - 6 Cilindros;MWM;205.865,53;;
80281;80281;Juego de juntas completo del motor con retenes;Motor MB OM 447 6 Cilindros;MB;362.548,00;;
80282;80282;Juego de juntas completo del motor con retenes;Motor MB OM 449 5 Cilindros;MB;311.972,83;;
80284;80284;Juego de juntas completo del motor con retenes;Motor GM 2.2L 16 válvulas MPFI - Gasolina - Vectra 2000 a 2004;GM;121.219,49;;
80285;80285;Juego de juntas completo del motor con retenes;Motor Fiat 1.6L 16 válvulas - Palio / Weekend / Siena / Strada 1996 a 2001;FIAT;80.051,21;;
80294;80294;Juego de juntas completo del motor con retenes;Motor MB OM 457 / LA Eletrônico - 1938 / 1944 / 2044 / 2540;MB;392.675,84;;
80295;80295;Juego de juntas completo del motor con retenes;Motor MB OM 457 - 1938;MB;393.923,12;;
80297;80297;Juego de juntas completo de motor sin retenes ;Motor MB OM 611 - Sprinter;MB;278.940,03;;
80312;80312;Juego de juntas completo del motor con retenes;Motor Scania DN / DS / DSC11 - HW 112 / 113;SCANIA;173.870,80;;
80320;80320;Juego de juntas completo del motor con retenes;Motor Volvo TD 102F / TD 102FS - Serie NL10 - 1989 a 1997;VOLVO;264.383,06;;
80322;80322;Juego de juntas completo del motor con retenes;Motor Volvo TD 122FS - NL12 ( 1989 a 1996).;VOLVO;275.681,01;;
80323FLEX;80323;Juego de juntas completo de motor sin retenes ;Motor Fiat Fire 1.4L 8v - Alcohol / Gasolina / Flex;FIAT;40.846,40;;
80324FLEXR;80324;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Motor Fiat Fire 1.4L 8v - Alcohol / Gasolina / Flex;FIAT;54.719,37;;
80325;80325;Juego de juntas completo del motor con retenes;Motor Maxion Perkins Gemini HSD 2.5L / 2.8L Turbo Diesel - GM Blazer / S10 - Sprinter - Ranger;FORD;129.017,01;;
80326;80326;Juego de juntas monocilíndrico con retenes;Motor MB OM 447 6 Cilindros / OM 449 5 Cilindros;MB;33.475,37;;
80333FLEX;80333;Juego de juntas completo de motor S/ retenes .Junta de ytapa de cilindros MLS;Motor Fiat FIRE 1.0L / 1.3L  8 válvulas - Uno / Palio / Weekend / Siena / Strada / Doblò;FIAT;29.983,00;;
80342FLEX;80342;Juego de juntas completo de motor S/Retenes .Junta de tapa de cilindros MLS ;Motor Ford Duratec HE(DOHC)  2.0L 16V (Ecosport 2003.../Focus Hatch 2001.../Mondeo 1996.../ Focus Sedan 2000...;FORD;132.968,06;;
80344;80344;Juego de juntas completo del motor con retenes;Motor Maxion Perkins S4 / S4T / S4T Plus - GM D20 / D40;GM;121.774,73;;
80348FLEXR;80348;Juego de juntas completo del motor con retenes;Motor VW  AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - 1995/...;VW;70.885,72;;
80349;80349;Juego de juntas completo del motor con retenes;Motor Maxion Perkins P4000 / P4006 / P4008 - Agrícola;PERKINS;90.954,86;;
80350;80350;Juego de juntas completo del motor con retenes;Motor MWM 4.07 Sprint 2.8L - 4 Cilindros - GM Blazer / S10 - Agrale Volare / 6000 / 6000RS - Troller Jipe 4x4 - Nissan Frontier / VW Micro ómnibus;MWM;132.799,08;;
80357;80357;Juego de juntas completo del motor C/ retenes.Junta tapa de cilindros en Fibra ;Motor GM 1.4L - Prisma / Montana / Corsa / Celta / Meriva - Alcohol / Gasolina / Flex;GM;56.956,43;;
80358FLEX;80358;Juego de juntas completo de motor S/ retenes .Junta de tapa de cilindros MLS;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;51.637,38;;
80359FLEXR;80359;Juego de juntas completo del motor C/retenes.Junta de tapa de cilindros MLS;Motor VW AT / POWER 1.4L 8v (BTJ) Álcool / Gasolina / Flex - VW AT / POWER 1.6L 8v (BAH / BPA) Álcool / Gasolina / Flex;VW;109.366,32;;
80361;80361;Juego de juntas completo del motor con retenes;MOTOR MITSUBISHI 4D56 / 4D56S / 4D56T- L200 / L300 / PAJERO - MOTOR HYUNDAI 2,5L / D4B / D4BH;MITSUBISHI;80.051,21;;
80364;80364;Juego de juntas completo del motor con retenes;Motor MB OM 364A / 364LA 4 Cilindros Turbo / Con Intercooler ( Con o sin carcasa );MB;74.434,44;;
80367;80367;Juego de juntas completo de motor S/ retenes.Tapa de cilindros en Fibra;Motor Renault K4J 1.4L 16v / K4M 1.6L 16v - Megane / Megane Coupe / Megane Cabrio / Clio / Clio II / Scenic / Laguna / Kangoo / Logan (1999/..);RENAULT;29.411,66;;
80368FLEXR;80368;Juego de juntas completo del motor C/ retenesJunta de tapa de cilindros en Fibra ;Renault motor K4M 1,6L 16V;RENAULT;75.013,81;;
80374;80374;Juego de juntas completo de motor sin retenes ;Motor Toyota 2779cc Diesel - Hilux 3.0L 1995/...;TOYOTA;49.706,10;;
80376FLEX;80376;Juego de juntas completo de motor S/retenes .Junta de tapa de cilindros en Fibra;Motor Renault / Peugeot D4D 1.0L /1.2L 16V - Peugeot 206 (2001/2005) / Clio (2001/2015) / Logan (2007/2015 / Sandero (2007/2015) / Twingo (2001/2002)/ Kangoo (2001/2005) - Álcool / Gasolina / Flex - Hi Flex / Hi Power;RENAULT;52.192,63;;
80377;80377;Juego de juntas completo de motor S/retenes .Junta de tapa de cilindros Fibra;Motor Ford Zetec Rocam SOHC - 1.0L KA / Fiesta / Ecosport 2000/...;FORD;43.493,85;;
80378;80378;Juego de juntas completo de motor S/ retenes.Junta de tapa de cilindros MLS ;Motor Ford Zetec Rocam SOHC - 1.6L KA / Fiesta / Ecosport / Focus 2000/...;FORD;72.310,04;;
80381;80381;Juego de juntas completo de motor S/retenes.Junta de tapa de cilindros Fibra ;Motor Ford Zetec 1.8 L 16V.Gasolina -Aplicasión Motor RKC 115 CV 1992 à 1995 - Escort 16V./ RQB 130 CV 1992 à 1995 - Orion 16V. / RQC 130 CV 1992 à 1995 - Fiesta 16V./ RQB 130 CV 1992 à 1995 - Escort 16V./ ZETEC 105 CV 1995......  - Escort / Escort XR3i / Fiesta / Fiesta XR2i ( DOHC ) 16V.  ;FORD;51.307,45;;
80384;80384;Juego de juntas completo del motor C/ retenes.Juntaa de tapa de cilindros en Fibra;GM MOTOR LAQ B12D1/LMU;GM;82.248,04;;
80385;80385;Juego de juntas completo del motor C/ retenes,.Sin junta de  tapa de cilindros ;Peugot /Citroen motor D4F1,2L 16V;PEUGEOT;49.327,90;;
80387;80387;Juego de juntas completo del motor C/ retenes .Sin junta de tapa de cilindros ;Renault motor K4 M 1,6L 16V;RENAULT;57.141,51;;
80394;80394;Juego de juntas completo del motor con retenes;Motor MB OM 457 / LA Eletrônico - 2008/...;MB;498.083,06;;
80403FLEXR;80403;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra ;Motor TU3JP - Citroen C3 1.4L 8V.2003/....  Motor Peugeot 206,207 Hatch,207  2004/.....1.4L 8V.- Álcool / Gasolina / Flex ;PEUGEOT;78.964,88;;
80405FLEXR;80405;Juego de juntas completo del motorC/retenes.Junta de tapa de cilindros emn Fibra;Motor Fiat E-torq 1.6L 16V. 2010/... - Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;112.528,77;;
80407FLEXR;80407;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra;Motor Renault K7M 1.6L 8V. 1996/... - Clio Hatch, Kangoo, Logan, Megane Hatch, Sandero, Symbol - Álcool / Gasolina / Flex;RENAULT;74.321,78;;
80408FLEXR;80408;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Motor Fiat E-torq 1.8L 16V.2010/...- Palio/Ideia/Grand Siena - Álcool / Gasolina / Flex;FIAT;117.477,66;;
80410FLEXR;80410;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindrosFibra;Motor Fiat Evo 1.4L 8V. 2010/... - Álcool / Gasolina / Flex  ;FIAT;42.914,47;;
80411FLEXR;80411;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra ;Peugeot /Citroen motor EW10J4 2,0L;PEUGEOT;73.991,85;;
80412;80412;Juego de juntas completo del motor con retenes;Motor Scania DN / DS / DSC11 - HW 112 / 113;SCANIA;125.033,76;;
80413;80413;Juego de juntas completo del motor con retenes;Motor Scania DSC11 - 113 / 114 Ecológico / DS14 ;SCANIA;216.825,50;;
80414FLEXR;80414;Juego de juntas completo del motor con C/ retenes.Junta de tapa de cilindros  Fibra;Motor Renault F4R 2.0L 16V(Duster 2011/20123/Megane 2003/Oroch 2015 / sandero 2016/ Scenic 2002/,,,,;RENAULT;83.567,74;;
80415;80415;Juego de juntas completo del motor con retenes;Motor Perkins 1006-6 / 1006-6T MF-630/640/650/660 ASPIRADO /TURBO;PERKINS;124.647,51;;
80418FLEXR;80418;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra ;Motor GM 1,4 L8V  SPE/4 (4 BIBINAS )ONIX 2012/... // NUEVO PRISMA 2013/...);GM;51.420,12;;
80419;80419;Juego de juntas completo del motor C/ retenes.Sin junta de tapa de cilindros ;Peugeot Citroen motor DW8 1,9 DIESEL;PEUGEOT;62.911,18;;
80425FLEXR;80425;Juego de juntas completo del motor con retenes;Toyota Corolla / Fielder Motor 17 zzfe 1,8L 16V;TOYOTA;65.952,94;;
80427;80427;Juego de juntas completo del motor con retenes;VW MOTOR 1,9 DIESEL  1Y,1X,AAZ;VW;66.661,07;;
80429;80429;Juego de juntas completo del motor C/retenes.Junta de tapa de cilindros en fFibra ;GM MOTOR BS10/B10S1/B12S1/B12S3;GM;51.202,85;;
80430FLEXR;80430;Juego de juntas completo del motor C/ retenesJunta de tapa de cilindros MLS.;Motor GM 2.2/2.4L  8V.MPFI - Blazer / Omega / Suprema / Vectra / Nova S 10 / S 10  2004/... Gasolina / Alcool / Flex ;GM;84.670,18;;
80431FLEXR;80431;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros Fibra;FORD DURATEC 2.0/2.3L 16V;FORD;123.681,86;;
80432FLEXR;80432;Juego de juntas completo del motor C/ retenes.Junta de tapa de ciliondros en Fibra .-;Peugeot Citroen Motor TU5JP4 (NFU/N6A) MOTORES EC5 ;PEUGEOT;85.442,69;;
80433;80433;Juego de juntas completo del motor con retenes; Iveco Cursor 13 - 12.9L 24V;IVECO;1.165.152,39;;
80434;80434;Juego de juntas completo del motor C/ retenes.Sin junta de tapa de cilindros .;VW motor TDI 2,0L 16 V DIESEL AMAROK;VW;197.617,39;;
80435FLEXR;80435;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en fibra;GM Cruze 1,8l 16v;GM;150.888,66;;
80436;80436;Juego de juntas completo del motor C/retenes.Sin Junta de tapa de cilindros ;FORD motor DV4TD / F6JA /F6JB 1,6L 16 V DIESEL;FORD/PEUGEOT/CITROEN;86.875,05;;
80437;80437;Juego de juntas superior del motor sin retenes; IVECO / FIAT - Motor F1A 2.3L 16V - DUCATO/DAILY;IVECO;124.237,10;;
80438;80438;Juego de juntas completo de motor sin retenes ;Renault motor G9U 2,5L 16 V diesel;RENAULT;160.633,54;;
80439;80439;Juego de juntas completo del motor con retenes;Motor 3,0/2,5L16V 1KDFTU/2KDFTU HILUX;TOYOTA;151.339,29;;
80447;80447;Juego de juntas completo de motor sin retenes ;Motor MB OM 447 6 Cilindros;MB;315.996,31;;
80448;80448;Juego de juntas completo del motor con retenes; RENAULT - Motor G9U - 2.5L 16V -;RENAULT;188.226,58;;
80484;80484;Juego de juntas de motor con retenes ;Motor DO834 4 CILINDROS;MAN/VW;521.451,44;;
80485;80485;Juego de juntas de motor con retenes ;Motor DO836 6 CILINDROS ;MAN/VW;795.780,56;;
80497;80497;Juego de juntas completo del motor con retenes;Mercedes Sprinter mot. OM 611;MB;199.701,56;;
80502;80502;Juego de juntas completo del motor C/ retenes.Sin junta de tapa de cilindros ;Renault motor D8Q 1,9L 8V DIESEL;RENAULT;61.317,88;;
80512;80512;Juego de juntas completo del motor con retenes;Motor MWM X12 - 4.12TCE - 4 Cilindros;MWM;245.279,57;;
80514;80514;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Renault motor F4R 2,0L 16 V ;RENAULT;74.434,44;;
80534;80534;Juego de juntas completo del motor C/ retenesJunta de tapa de cilindros MLS.;Motor VW 2,0L 16 V DIESEL  AMAROK;VW;343.516,93;;
80535FLEXR;80535;Juego de juntas completo del motor C/retene.Junta de gtapa de cilindros MLS;GM Cruze 1,8l 16v;GM;130.159,68;;
80550;80550;Juego de juntas completo del motor con retenes;Motor MWM 6.07 Sprint 4.2L - 6 Cilindros - GM Silverado 3500HD 1997/... ;MWM;249.962,90;;
80555;80555;Juego de juntas completo del motor con retenes; Scania P / G / R - Série 5 - DC12 / DT12 ( 2008 a 2011 ) ;SCANIA;525.780,71;;
80612;80612;Juego de juntas completo del motor con retenes;Motor MWM X12 - 6.12TCE - 6 Cilindros;MWM;338.149,61;;
80684;80684;Juego de juntas completo de motor S/ retenes.Junta de tapa de cilindros en Fibra ;Motor Fiat FIRE 1.0L / 1.3L 16 válvulas - Palio / Siena / Doblò (2000/..);FIAT;27.971,25;;
80685;80685;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra;Motor Fiat FIRE 1.0L / 1.3L 16 válvulas - Palio / Siena / Doblò (2000/..);FIAT;54.059,53;;
80686;80686;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;GM AVEO   1,6 L 16V DOHC F16DS ;GM;84.404,62;;
80687;80687;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros en Fibra;GM AVEO  1,6L 16 V DOHC F16DS;GM;73.315,91;;
80690;80690;Juego de juntas completo del motor con retenes; IVECO - Motor F1C 3.0L 16V;IVECO;225.347,23;;
80691;80691;Juego de juntas completo de motor sin retenes ;IVECO DAILY MOTOR F1C 3,0L 16V  D;IVECO;196.096,52;;
80696FLEXR;80696;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Ford - Motor Sigma - 1.5L/1.6L 16V (2 Tapa Valv.);FORD;122.329,97;;
80702FLEXR;80702;Jgo completo con Retenes con J tapa cilindros Fibra;Motor Firefly 1.3L 8v 4cils SOHC - Vehiculos: ARGO/CRONOS/PULSE/STRADA/UNO;FIAT;55.749,38;;
80706;80706;Juego de juntas completo del motor con retenes sin JTC;Motor Cummins ISB4 - 4 Cilindros 3.9 / 4.5L - Eletrônico;CUMMINS;719.278,05;;
80708;80708;Juego de juntas completo del motor con retenes sin JTC;Motor Cummins ISB6 - 6 Cilindros 5.9L - Eletrônico;CUMMINS;948.922,37;;
80711FLEXR;80711;Juego de juntas completo de motor con retenes (JTC FIBRA);Motor Toyota 2ZR-FBE 1,8L 16VL4/3ZR-FE/3ZRFBE-2,0L16V,L4 COROLLA/RAV4/PRIUS;TOYOTA;124.719,93;;
80795;80795;Juego de juntas completo del motor con retenes;Renault motor Master M9T 2,3L 16V;RENAULT;188.846,20;;
80796FLEXR;80796;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros Fibra;Ford - Motor Sigma - 1.5L/1.6L 16V (2 Tapa Valv.);FORD;90.262,82;;
80806FLEXR;80806;Juego de juntas completo del motor C/ retenes.Junta de tapa de cilindros MLS;Motor E- TORQ 1,8L 16V (2015/...)TORO,ARGO,CRONOS,DOBLO,GRAND SIENA,PALIO STRADA,PALIO WEEKEND,PUNTO,JEEP-RENEGADE;FIAT;111.233,21;;
80808FLEXR;80808;Juego de juntas completo de motor C/ retenes .Junta de tapa de cilindros en Fibra;Motor E-Torrq 1,8L 16V (2015/…)Fiat TORO/ARGO/CRONOS/DOBLO/GRAND SIENA /PALIO STRADA/PALIO WEEKEND/PUNTO/JEEP-RENEGADE;Fiat/Jeep;106.831,52;;
80815FLEXR;80815;Juego de juntas completo de motor C/ retenes .Junta de tapa de cilindros en Fibra;Motor VW EA211 1,6L  16V, 4 CIL.//UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;83.398,75;;
80823;80823;Juego de juntas completo del motor con retenes tapa MLS;Motor YD25ETI2,5L16V DOHC DIESEL;NISSAN;113.526,60;;
80833FLEXR;80833;Juego de juntas completo del motor con retenes.Junta de tapa de cilindros en Fibra;Motor Renault 1.0L 12V L3 B4DC / SCE - Vehiculos: Kwid - Sandero - Logan;RENAULT;50.164,79;;
80834;80834;Juego de Juntas completo de motor Con ret - JTC Metalica;Motor DURAMAX 2.8L 16v - Diesel - Vehículos: S10 /TRAILBLAZER;GM;189.224,40;;
80901;80901;Juego de juntas completo del motor con retenes;Scania 124 - 360HP (2000/...) / 400HP / 420 HP;SCANIA;390.318,09;;
80904;80904;Juego de juntas completo del motor con retenes;Motor MB OM 904 / 904A / 904LA - Eletronico;MB;188.500,18;;
80906;80906;Juego de juntas completo del motor con retenes;Motor MB OM 906 / 906A / 906LA - Eletronico;MB;245.867,00;;
80924;80924;Juego de juntas completo del motor con retenes;Motor MB OM 924 / 924A / 924LA;MB;183.784,66;;
80926;80926;Juego de juntas completo del motor con retenes;Motor MB OM 926 / 926A / 926LA;MB;310.138,12;;
80934;80934;Juego de juntas completo del motor con retenes;Motor MB OM 904 / 904A / 904LA / 924 / 924A / 924LA;MB;172.036,09;;
80936;80936;Juego de juntas completo del motor con retenes;Motor MB OM 906 / 906A / 906LA / 926 / 926A / 926LA;MB;174.393,85;;
80937;80937;Juego de juntas completo del motor con retenes;CUMMINS motor ISC 8,3L 24 V ELECTRÓNICO ;CUMMINS;555.280,89;;
80953;80953;Juego de juntas completo del motor con retenes;Motor Cummins 6B / 6BT / 6BTA 5.9L - 6 Cilindros;CUMMINS;401.994,23;;
80954;80954;Juego de juntas completo del motor con retenes;Motor Cummins 4B / 4BT 3.9L - 4 Cilindros;CUMMINS;289.996,56;;
80958;80958;Juego de juntas completo del motor con retenes;Motor Cummins 6C / 6CT / 6CTA 8.3L - 6 Cilindros;CUMMINS;461.067,01;;
80959FLEXR;80959;Juego de juntas completo de motor C/retenes .Junta de tsapa de cilindros en Fibra;Motor SCE-H4M-1,6L-16V Sandero /Logan/Duster/Captur ;Renault;60.730,45;;
80961;80961;Juego de juntas completo del motor con retenes sin anillos de camisa ;Motor EURO 5 /DC13-SERIE6 2012/... SERIE G/P/R/S;SCANIA;567.101,88;;
80962;80962;Juego de juntas completo de motor con retenes JTC Mls;Motor SPRINTER 415/515 OM 651 - 2.2L 16v;MB;183.607,62;;
81902;81902;Juego de juntas completo del motor con retenes;Motor MB OM 366 / 366A / 366LA 6 Cilindros Turbo / con intercooler ( con o sin carcasa );MB;106.871,75;;
81937;81937;Juego de juntas inferior de motor ;CUMMINS motor ISC 8,3L 24 V ELECTRÓNICO ;CUMMINS;228.364,85;;
46301FPSD;82000;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW 1.6L Diesel - Kombi;VW;14.975,40;;
48301FPSD4;82009;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor MB OM 314 / 364 4 Cilindros - Toyota / 608 (con o sin carcasa - excepto motores turbo);MB;17.123,94;;
48802FPSD4;82015;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor MB OM 352 / 352A / 366 / 366A 6 Cilindros ( con o sin carcasa );MB;22.708,54;;
48903FPSD;82022;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor MB OM 355A / 355LA;MB;8.111,35;;
70401FPSD;82032;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Maxion Perkins 4203 - 4 Cilindros - Inyección Indirecta - Ford 8BR - Massey Ferguson 65 - CBT 1000;PERKINS;17.952,78;;
46901FG2;82051;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW 1.6L Gasolina con pistón STD 79,5mm - Passat / Parati / Voyage 1983 a junio 1985;VW;9.149,40;;
46301FPSD1;82052;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW 1.6L Diesel - Kombi;VW;15.635,25;;
46301FPSD2;82053;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW 1.6L Diesel - Kombi;VW;19.586,32;;
46501FLEX;82054;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW AP 1.6L / 1.8L Alcohol / Gasolina - Gol / Voyage / Parati / Saveiro / Apollo / Logus / Pointer / Passat / Santana / Quantum - Motor Ford AP 1.6L / 1.8L Alcohol / Gasolina - Escort / Del Rey / Belina / Royale / Verona / Pampa / Versailles;VW;11.128,95;;
11302FLEX;82071;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Ford CHT 1.6L Gasolina - Corcel II / Belina / Del Rey / Escort / Pampa / Verona 1983/... - Motor Ford / VW AE 1.6L Gasolina - Gol / Voyage / Parati / Saveiro / Escort / Verona - Alcohol / Gasolina / Flex;FORD;7.266,40;;
11401FPSG;82075;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Ford / Ford Willys OHC 2.3L Gasolina - F100 / Maverick 1975 a 1984;FORD;14.452,35;;
10801FLEX;82086;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor GM 1.4L / 1.6L Gasolina - Chevette / Marajó / Chevy 1973 a 1993;GM;6.687,03;;
16101FLEX;82091;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor GM 2.0L 8/16 válvulas Gasolina - Monza / Kadett / Ipanema / Omega / Astra / Vectra (con excepción de GSI) 1987 a 2004;GM;9.149,40;;
46701FLEX;82146;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor VW AP 2.0L Alcohol / Gasolina - Gol / Santana / Quantum / Parati / Logus / Pointer - Motor Ford AP 2.0L Alcohol / Gasolina - Versailles / Royale / Escort / Verona ;VW;9.254,01;;
82169;82169;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Fiat SEVEL 1580cc Gasolina - Uno / Premio / Elba / Duna Noviembre 1989.../ Tipo 1993...1995;FIAT;11.474,97;;
82175;82175;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor MB OM 366 / 366A / 366LA 6 Cilindros ( con o sin carcasa );MB;20.696,80;;
82176;82176;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor MB OM 364 / 364A / 364LA 4 Cilindros ( con o sin carcasa );MB;12.223,34;;
82198;82198;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;MOTOR FIAT 1.3(128/147) (U.)   ;FIAT;10.131,13;;
82206;82206;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Ford Zetec 1.8 L 16V.Gasolina -Aplicação Motor RKC 115 CV 1992 à 1995 - Escort 16V./ RQB 130 CV 1992 à 1995 - Orion 16V. / RQC 130 CV 1992 à 1995 - Fiesta 16V./ RQB 130 CV 1992 à 1995 - Escort 16V./ ZETEC 105 CV 1995......  - Escort / Escort XR3i / Fiesta / Fiesta XR2i ( DOHC ) 16V. / RKA 115 CV 1993 à 1998 - Mondeo 16V.(DOHC) / ZETEC 105 CV 1992 à 1995 = Escort / Escort XR3i / Fiesta / Fiesta XR2i / Orion / Nomade 16V.;FORD;10.243,79;;
82210;82210;Junta tapa de cilindros metalica MLS;Peugeot Citroen motor DW8 1,9 DIESEL;PEUGEOT;24.020,20;;
82220;82220;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor GM 1.8L  8 válvulas Fase II Gasolina - Monza / Kadett / Ipanema 1987 a 1996;GM;6.719,22;;
82222;82222;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor GM Vortec 262 - 4.3L V6 - Blazer / S10 / Carretillas elevadoras / Hyster / Yale ;GM;8.916,04;;
82223;82223;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Maxion Perkins S4 / S4T / S4T Plus - GM D20 / D40 - Maxion Perkins P4000 / P4006 / P4008 - Agrícola;PERKINS;30.119,79;;
82230;82230;Junta tapa de cilindros SOFT ( fibra no asbestos ) ;Motor Ford Endura 1.0L Gasolina - Fiesta / Ka 1996 a 1999;FORD;13.309,68;;
