 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
75626;75626;Junta de la tapa de válvulas;Motores Turbos - Iveco 2.8LT - Ducato 2.8LT/DTD - Citroen Jumper 2.8T - Peugeot Boxer 2.8LT/HDI - Renault Master 2.8L DTI;IVECO;7.837,74;;
75628;75628;Junta de la tapa de válvulas;Motor Renault D4D 1.0L /1.2L 16V - Clio (2005/2015) / Logan (2007/2015) / Sandero (2007/2015) - Álcool / Gasolina / Flex - Hi Flex / Hi Power;RENAULT;6.059,36;;
75629;75629;Juego juntas tapa de válvulas;Motor FIAT EVO 1,0L 8V /1,4L 8V;FIAT;5.061,54;;
75632;75632;Junta de la tapa de válvulas;Peugeot Citroen Motor TU5JP4 (NFU/N6A) MOTORES EC5 ;PEUGEOT;9.688,55;;
75633;75633;Junta de multiple admisión - Goma (4 piezas ); GM AVEO 1,4L 16 V DOHC F14D  //1,6L 16 V DOCH F16DS;GM;3.428,01;;
75634;75634;Juegode juntas tapa distribución ;Motor CPLA 2,0L 16V ;VW;13.623,51;;
75635;75635;Junta de la tapa de válvulas;Motor Toyota Corolla 1ZZFE 1.8L 16V. Gasolina /Flex 2002/...;TOYOTA;8.739,01;;
75639;75639;Junta de la tapa de válvulas; GM AVEO 1,4L 16 V DOHC F14D  //1,6L 16 V DOCH F16DS;GM;6.864,06;;
75641;75641;Junta de la tapa de válvulas;Motor Ford Duratec HE(DOHC)  2.0L 16V (Ecosport 2003.../Focus Hatch 2001.../Mondeo 1996.../ Focus Sedan 2000...;FORD;16.641,12;;
75647;75647;Junta del carter;Motor Cummins ISB6 C CIL , 6,7 L Electronico;CUMMINS;110.436,56;;
75652;75652;Junta de la tapa de válvulas;Motor Scania 124 360HP 1998 a 1999;SCANIA;2.599,17;;
75653;75653;Junta de la tapa de válvulas;Motor Scania 124 360HP (2000/...) / 400HP;SCANIA;3.967,15;;
75654;75654;Junta de la tapa de válvulas;Motor Scania 124 360HP (2000/...) / 400HP / 420HP;SCANIA;2.253,15;;
75655;75655;Junta de la tapa de válvulas;Motor Scania 124 420HP ;SCANIA;2.864,72;;
75659;75659;Junta de la tapa de válvulas;Motor Fiat Fire Firefly 1,0L 6 V 3CIL /ARGO/MOBI/UNO;FIAT;17.944,73;;
75662;75662;Junta de la tapa de válvulas;FORD  TRANSIT /RANGR;FORD;13.100,46;;
75663;75663;Junta de la tapa de válvulas;Motor FORD SIGMA 1,6 L 16V MOTOR ZETEC S16 ;FORD;11.008,25;;
75664;75664;Junta de la tapa de válvulas;Motor FORD SIGMA 1,5/1,6L 16V  (L4 );FORD;11.008,25;;
75666;75666;Junta de la tapa de válvulas;HONDA CIVIC CRX;HONDA;10.638,09;;
75668;75668;Junta de la tapa de válvulas;Motor Toyota 2ZR-FBE 1,8L 16VL4/3ZR-FE/3ZRFBE-2,0L16V,L4 COROLLA/RAV4/PRIUS;TOYOTA;19.819,68;;
75702;75702;Juego de Juntas de colector de Admisión;Motor Firefly 1.3L 8v 4cils SOHC - Vehiculos: ARGO/CRONOS/PULSE/STRADA/UNO;FIAT;4.200,51;;
75671;75671;Junta tapa de valvulas ;Motor SPRINTER 415/515 OM 651 - 2.2L 16v (Para motores del 2007/2011);MB;9.237,91;;
75672;75672;Junta tapa de valvulas ;Motor SPRINTER 415/515 OM 651 - 2.2L 16v (Para motores del 2012/2018);MB;9.905,81;;
75673;75673;Junta del carter;Motor SPRINTER 415/515 OM 651 - 2.2L 16v;MB;8.022,83;;
75690;75690;Junta de la tapa de válvulas;IVECO DAILY MOTOR F1C 3,0L 16V  D;IVECO;14.420,16;;
75694;75694;Junta multiple de admisión;VW  MOTOR EA 211/1,0L 12V 3CIL//UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;6.493,91;;
75700;75700;Deflector Plastico juego junta de tapa de valvulas ;Motor  Peugeot /Citroen TU5JP4(NFU/NFR/NFS/N6A)EC5 1,6L 16 V (NFP);PEUGEOT;34.803,13;;
75701;75701;Deflector Plastico juego junta de tapa de valvulas ;Motor Peugeot /Citroen EW 10A (RFH / RFJ ) 2.0L 16 V;PEUGEOT;47.348,35;;
75710;75710;Junta de colector de admisión  ;Motor Toyota 2ZR-FBE 1,8L 16VL4/3ZR-FE/3ZRFBE-2,0L16V,L4 COROLLA/RAV4/PRIUS;TOYOTA;5.439,75;;
75714;75714;Junta multiple de admisión;Motor Renault F4R 2.0L 16V(Duster 2011/20123/Megane 2003/Oroch 2015 / sandero 2016/ Scenic 2002/,,,,;RENAULT;3.299,26;;
75722;75722;Junta de carter (superior );Motor EURO 5 /DC13-SERIE6 2012/... SERIE G/P/R/S;SCANIA;89.683,44;;
75733;75733;Junta de la tapa de válvulas; Iveco Cursor 13 - 12.9L 24V;IVECO;65.293,08;;
75770;75770;Junta de la tapa de válvulas;Renault motor G9U 2,5L 16 V diesel;RENAULT;28.301,18;;
75771;75771;Junta de la tapa de válvulas;NISSAN FRONTIER / PATH FINDER ;NISSAN;14.758,14;;
75773;75773;Junta de la tapa de válvulas;Motor MR 1,8L16V/MR2,0L16V/M4R2,0L16V/NISSANSENTRA/GRAND LIVIANA/LIVIANA/TIIDA/X-TRAIL/RENALT FLUENCE;Renault/Nissan;10.348,40;;
75775;75775;Junta de la tapa de válvulas;Motor VW EA 113 1.8L 20V GOLF, PASSAT , AUDI ;VW;26.313,58;;
75776;75776;Junta de la tapa de válvulas;Hyundaimotor D4BH/4D56-2,5L 8V SOHC -Vehiculo Hyundai HR 2010/11/12;HYUNDAI;6.759,45;;
75815;75815;Junta de colector de admisión  ;Motor EA 211 1,6L 16V 4CIL./UP,CROSS UP,FOX,GOLF,POLO,VIRTUS,VOYAGE;VW;4.128,09;;
75817;75817;Junta de colector de admisión  ;Motor MR 1,8L16V/MR2,0L16V/M4R2,0L16V/NISSANSENTRA/GRAND LIVIANA/LIVIANA/TIIDA/X-TRAIL/RENALT FLUENCE;Renault/Nissan;3.951,06;;
75821;75821;Junta de tapa de valvulas ;Motor Toyota 2NR-FE 1,5L 16V/ Etios, Etios Cross, Etios Sedan ,Yaris,Yaris Sedan;TOYOTA ;17.502,16;;
75825;75825;Junta de la tapa de válvulas;Motor SCE-H4M-1,6L-16V Sandero /Logan/Duster/Captur ;Renault;13.277,50;;
75829;75829;Juego de Juntas del colector;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;2.687,69;;
75904;75904;Junta del carter;Motor Ford Zetec Rocam SOHC 1.0L / 1.6L  - Fiesta / Ka / Courier / Escort / EcoSport / Focus;FORD;18.057,39;;
75910;75910;Junta del carter;Motor GM 1.8L / 2.0L / 2.2L - 8/16 válvulas - Vectra / Astra / Zafira - 1997/...;GM;11.925,60;;
75922;75922;Junta del carter;Motores VW AT / POWER 1.0L 8/16v / Turbo - Gol / Parati / Fox - VW AT / POWER 1.4L 8v (BTJ) Kombi - VW AT / POWER 1.6L 8v (BAH / BPA) Novo Gol, Voyage, Fox, CrossFox, SpaceFox, Polo, Saveiro;VW;15.321,42;;
75943;75943;Junta de la tapa de válvulas;Motor VW AP 1.6L / 1.8L / 2.0L - Gol / Parati / Saveiro / Santana / Quantum 1996/...;VW;10.887,55;;
75944;75944;Junta del carter;"Motor VW AP 1.6L / 1.8L / 2.0L  - Gol / Parati / Saveiro / Santana / Quantum (1996/...) - 
Motores 1Y / 1X / AAZ  1896 cc Diesel VW / SEAT / AUDI (1989/...) - VW PASSAT 1.9 TD (91/96) - VW PASSAT VARIANT 1.9 TD (91/97) - VW TRANSPORTER IV 1.9 DIESEL (90/95)";VW;17.502,16;;
75960;75960;Junta de la tapa de válvulas;Motor GM 1.8L / 2.0L / 2.2L  / 2.4L 8 válvulas - Vectra / Astra / Zafira / S10 / Blazer - 1997/...;GM;2.864,72;;
75961;75961;Junta de la tapa de válvulas;Motor GM 2.0L / 2.2L / 2.4L 16 válvulas - Vectra / Astra / Zafira - 1997/...;GM;8.256,18;;
75962;75962;Junta de la tapa de válvulas;Motor MWM 4.07 Sprint 2.8L - 4 Cilindros - GM Blazer / S10 - Agrale Volare / 6000 / 6000RS - Troller Jipe 4x4 - Nissan Frontier / VW Micro ómnibus;MWM;9.575,89;;
75963;75963;Junta de la tapa de válvulas;Motor MB OM 457 / LA Eletrônico - 1944 / 2044 / 2540;MB;4.795,99;;
11226F;75986;Junta de la tapa de válvulas;Motor Ford 1.3L / 1.4L / 1.6L - Motor Ford CHT 1.3L / 1.6L - Motor VW / Ford AE 1.0L / 1.6L 1968 a 1996;FORD;1.593,29;;
48879F;76032;Junta del cigüeñal (Soga);Motor MB OM 314 / 352 / 364 / 366;MB;10.678,32;;
76085;76085;Junta de valvula termostatica;Motor Ford Zetec Rocam 1,0/1,6 L;FORD;764,46;;
76090;76090;Junta soporte filtro aceite ;Motor E-TORQ 1,6/1,8 16V;FIAT;989,78;;
76106;76106;Juego de anillos de camisa;Motor MWM D229 / TD229;MWM ;4.297,08;;
76110;76110;Juego de anillos de camisa;Motor DC12/DC13/2009/...;SCANIA;7.137,66;;
76187;76187;Junta de colector de admisión ;Motor SPRINTER 415/515 OM 651 - 2.2L 16v;MB;3.403,87;;
76285;76285;Juego de anillos de camisa;Motor MB OM 457 - AXOR;MB;6.163,97;;
76351;76351;Junta de la tapa de válvulas;Motor GM 1.0L  MPFI - Corsa / Celta 1999/... - Motor GM 1.4L  MPFI - Celta 2002/... - Motor GM 1.6L / 1.8L  MPFI - Corsa / Meriva / Montana 1999/... - Motor Fiat 1.8L  MPFI - Stilo / Palio / Siena / Palio Weekend / Doblò / Strada / Idea 2003/...;GM;4.852,31;;
76435;76435;Junta de bomba de aceite;GM Cruze 1,8l 16v;GM;14.532,82;;
76437;76437;Junta del carter;IVECO / FIAT - Motor F1A 2.3L 16V - DUCATO/DAILY;IVECO;12.665,93;;
76438;76438;Junta del carter;- RENAULT - Motor G9U - 2.5L 16V - ;RENAULT;9.028,70;;
76621;76621;Juego de juntas de tapa de valvulas con raspadores;Motor Renault / Peugeot  D4D 1,0L16 v P.206-01/04/Clio 00/04 /Kangoo 01/04 Twingo 01/02 alcohol/nafta /flex ;RENAULT;20.922,12;;
